11,2805,0.78,1.00
11,332,4.98,54.00
11,1193,18.89,57.00
11,505,2.67,19.00
11,1234,16.80,49.00
11,2260,18.83,30.00
11,2499,14.58,21.00
11,3086,12.00,14.00
11,18,21.70,36.00
11,2755,88.80,5.00
11,2928,63.90,38.00
11,2680,72.60,23.00
11,3020,90.50,30.00
11,1092,24.20,38.00
11,2848,39.20,49.00
11,1102,25.70,32.00
11,711,14.80,37.00
11,2494,9.80,52.00
11,2805,0.78,1.00
11,332,4.98,54.00
11,1193,18.89,57.00
11,505,2.67,19.00
11,1234,16.80,49.00
11,2260,18.83,30.00
11,2499,14.58,21.00
11,3086,12.00,14.00
